site_name,component,state,country,operational_status,latitude,longitude
NG Beauregard Training Range,Army Guard,Louisiana,United States,Active,31.4394196846,-92.2955559116
NG ITC Camp San Luis Obisbo,Army Guard,California,United States,Active,35.3391521049,-120.703075007
NG Ft Allen Rq 177,Army Guard,Puerto Rico,Puerto Rico,Active,18.0130410519,-66.5056515785
NG TS Ethan Allen Range,Army Guard,Vermont,United States,Active,44.4717265822,-72.896538843
NG Gulfport AVCRAD,Army Guard,Mississippi,United States,Active,30.4161868882,-89.062874432
NG Camp Swift,Army Guard,Texas,United States,Active,30.2616699455,-97.2945537016
JBAB Anacostia Bolling,Navy Active,District of Columbia,United States,Active,38.8448751542,-77.0147335466
Honolulu,Navy Active,Hawaii,United States,Active,21.3462993357,-157.922047733
NAS JRB New Orleans LA,Navy Active,Louisiana,United States,Active,29.8313631946,-90.0208667897
NOLF Spencer,Navy Active,Florida,United States,Active,30.6253166375,-87.1398275231
NOTU Cape Canaveral,Navy Active,Florida,United States,Active,28.4282639805,-80.588426762
NAVWPNSYSTRAFAC Boardman,Navy Active,Oregon,United States,Active,45.72074181,-119.687435193
NAVSTA Everett WA,Navy Active,Washington,United States,Active,47.9883156828,-122.223175004
NAS Whidbey Island WA,Navy Active,Washington,United States,Active,48.3386378202,-122.661500903
Anniston Army Depot,Army Active,Alabama,United States,Active,33.6531336371,-85.9692368218
Fort Carson,Army Active,Colorado,United States,Active,38.5587412041,-104.826768506
Radford AAP,Army Active,Virginia,United States,Active,37.1870774617,-80.5424873564
Choc Mt Air Gnry Rng,MC Active,California,United States,Active,33.3119495462,-115.309239233
Pearl City Annex,MC Active,Hawaii,United States,Active,21.3835443747,-157.971379541
Yorktown Fuel Depot,Navy Active,Virginia,United States,Active,37.2159079687,-76.4860419602
Waterfront,Navy Active,New Jersey,United States,Active,40.422044168,-74.0704353876
Seymour Johnson AFB,AF Active,North Carolina,United States,Active,35.3479024962,-77.962577717
Westover ARB,AF Reserve,Massachusetts,United States,Active,42.1990993962,-72.5364984149
Eareckson AS,AF Active,Alaska,United States,Active,52.721036906,174.107140074
Cheyenne Regional Airport,AF Guard,Wyoming,United States,Active,41.1620252547,-104.821289643
Fort Smith Map,AF Guard,Arkansas,United States,Active,35.3414611154,-94.3704265035
Memphis IAP,AF Guard,Tennessee,United States,Active,35.025497959,-89.966549951
Springfield Beckley,AF Guard,Ohio,United States,Active,39.8490796654,-83.8354791953
Birmingham Airport,AF Guard,Alabama,United States,Active,33.5710203144,-86.7541411026
NG Camp Navajo,Army Guard,Arizona,United States,Active,35.1948003007,-111.850594633
NG HMO3 (Snake Creek TS),Army Guard,Florida,United States,Active,25.9624299881,-80.3047964814
NG CTC Fort Custer Trng Center,Army Guard,Michigan,United States,Active,42.2994261787,-85.3177166165
NG West Camp,Army Guard,South Dakota,United States,Active,44.0731899378,-103.30683687
Naval Hospital,Navy Active,Guam,Guam,Active,13.4739477757,144.740245884
Brooks AFB,AF Active,Texas,United States,Active,29.3427718639,-98.4396992143
Dover AFB,AF Active,Delaware,United States,Active,39.1265401339,-75.465256235
Fort A P Hill,Army Active,Virginia,United States,Active,38.1180327475,-77.2759052325
Tobyhanna Army Depot,Army Active,Pennsylvania,United States,Active,41.1975381899,-75.4291099943
MCAS Yuma,MC Active,Arizona,United States,Active,32.6453966733,-114.602240833
NNSY St Helena,Navy Active,Virginia,United States,Active,36.8255463263,-76.289264919
Cheatham Annex,Navy Active,Virginia,United States,Active,37.2849658658,-76.6194826812
JEBLCFS Wallops Island VA,Navy Active,Virginia,United States,Active,37.8861451185,-75.4686379534
GL Camp JPJ,Navy Active,Illinois,United States,Active,42.3003113359,-87.8539702937
NAS Pensacola FL,Navy Active,Florida,United States,Active,30.3527067706,-87.3063356676
Corry Station,Navy Active,Florida,United States,Active,30.4028604162,-87.2900851792
Clear Air Force Station,AF Active,Alaska,United States,Active,64.2881605755,-149.190714695
Joe Foss Field,AF Guard,South Dakota,United States,Active,43.5732338069,-96.7415313205
Des Moines IAP,AF Guard,Iowa,United States,Active,41.5443605816,-93.6660689484
EWVRA Shepherd Field,AF Guard,West Virginia,United States,Active,39.406011562,-77.9845939323
NG Camp Hartell,Army Guard,Connecticut,United States,Active,41.9420819916,-72.665875741
NG Martindale - AASF,Army Guard,Texas,United States,Active,29.4318157845,-98.3795077904
NG Marseilles (MTA Tng Area),Army Guard,Illinois,United States,Active,41.286945521,-88.6795863034
NG Hollis Plains Training Site,Army Guard,Maine,United States,Active,43.6687895015,-70.6637499429
NG Thunderbird Youth Academy,Army Guard,Oklahoma,United States,Active,36.2956939177,-95.2921270779
NG Fort McClellan ARNG Tng Center,Army Guard,Alabama,United States,Active,33.7333873334,-85.7878345164
NG CTA Camp Mccain,Army Guard,Mississippi,United States,Active,33.7108821376,-89.6859335176
NG Camp Smith Tng Site,Army Guard,New York,United States,Active,41.3118240947,-73.9509046086
Harmon,Navy Active,Guam,Guam,Active,13.5219204866,144.81563688
NAVBASE Point Loma,Navy Active,California,United States,Active,32.6962020716,-117.245822433
NSA Andersen,Navy Active,Guam,Guam,Active,13.5991888519,144.895032191
Dania Beach (Lauderdale),Navy Active,Florida,United States,Active,26.0918029314,-80.1100114622
Parks Reserve Forces Tng Area,Army Reserve,California,United States,Active,37.7301830972,-121.896604083
Highbluff Stagefield AL,Army Active,Alabama,United States,Active,31.1507181645,-85.7365895283
Kahuku Tng Area,Army Active,Hawaii,United States,Active,21.6554725925,-157.991699974
Kilauea Mil Reserve,Army Active,Hawaii,United States,Active,19.4339227624,-155.274146853
W Silver Spring Complex,Army Reserve,Wisconsin,United States,Active,43.122804331,-87.9772820103
Defense Distrib Depot Susq,Army Active,Pennsylvania,United States,Active,40.2081935416,-76.8392842405
Fort Detrick,Army Active,Maryland,United States,Active,39.4393426467,-77.4329802888
Devens Reserve Forces Tng Area,Army Reserve,Massachusetts,United States,Active,42.4983892077,-71.6564168902
Fort Benjamin Harrison,Army Active,Indiana,United States,Inactive,39.8591031687,-86.023591834
MCAS Miramar,MC Active,California,United States,Active,32.8768862606,-117.085904098
Gould Island RI,Navy Active,Rhode Island,United States,Active,41.537007483,-71.3449081892
Saufley Field,Navy Active,Florida,United States,Active,30.4703563325,-87.341464807
Dyess AFB,AF Active,Texas,United States,Active,32.4228638826,-99.8391523672
Vance AFB,AF Active,Oklahoma,United States,Active,36.337985538,-97.9145208117
Sioux Gateway Airport (ANG),AF Guard,Iowa,United States,Active,42.3949424324,-96.3728939608
General Wayne A Downing Peoria IAP,AF Guard,Illinois,United States,Active,40.6623266748,-89.7047451161
NG Camp Fogarty Tng Site,Army Guard,Rhode Island,United States,Active,41.6154323015,-71.4990309697
NG Bergstrom - (Abia),Army Guard,Texas,United States,Active,30.1763045639,-97.6720949612
NG Biak Training Center COUTES,Army Guard,Oregon,United States,Active,44.2000240894,-121.116641902
NG Nashville,Army Guard,Tennessee,United States,Active,36.0990427201,-86.7588114945
NG Papago Military Reservation,Army Guard,Arizona,United States,Active,33.4680085999,-111.961734255
NG Indianapolis 38 ID,Army Guard,Indiana,United States,Active,39.7443784632,-86.2281648634
NG CTC Camp Dawson-Kingwood,Army Guard,West Virginia,United States,Active,39.4053782409,-79.6650809272
NOLF Brewton,Navy Active,Alabama,United States,Active,31.0485248017,-87.0645146284
Amphib Base Coronado West,Navy Active,California,United States,Active,32.6713189664,-117.167654101
Balboa Hospital,Navy Active,California,United States,Active,32.7262714976,-117.145036279
NAVWPNSTA Seal Beach,Navy Active,California,United States,Active,33.7504659919,-118.064188826
Norco,Navy Active,California,United States,Active,33.9237676683,-117.569462918
Randsburg Wash Area,Navy Active,California,United States,Active,35.5147864004,-117.141406945
Verona Defense Fuel Support Point,AF Active,New York,United States,Active,43.1269235478,-75.5912449791
F E Warren AFB,AF Active,Wyoming,United States,Active,41.1707420451,-104.860338183
NARL Barrow Camp Tr1,Navy Active,Alaska,United States,Active,71.3217290437,-156.647955307
Sioux Gateway Airport (ANG),AF Guard,Iowa,United States,Active,42.3887282099,-96.3753394484
Yakima Training Center,Army Active,Washington,United States,Active,46.744530905,-120.165725249
Shell Basefield AL,Army Active,Alabama,United States,Active,31.3626015042,-85.8489813304
Fort George G Meade,Army Active,Maryland,United States,Active,39.1046170939,-76.7454436487
Scranton AAP,Army Active,Pennsylvania,United States,Active,41.404179439,-75.6659088025
Watervliet Arsenal,Army Active,New York,United States,Active,42.7198249748,-73.7081190476
MCLB Albany,MC Active,Georgia,United States,Active,31.5508944243,-84.0558826773
MCAS Cherry Point,MC Active,North Carolina,United States,Active,34.9120752465,-76.8854246963
Former NTC,MC Active,California,United States,Active,32.7293500339,-117.220992794
NSA Saratoga Springs NY,Navy Active,New York,United States,Active,43.0790804004,-73.8207400706
Pentagon Building Site,WHS,Virginia,United States,Active,38.8719172793,-77.0547227251
Elmendorf AFB,AF Active,Alaska,United States,Active,61.2697994083,-149.811188858
Fresno Yosemite International ANG,AF Guard,California,United States,Active,36.766535122,-119.71000318
St Louis Air Force Station,AF Active,Missouri,United States,Active,38.5912194524,-90.2083428154
NG Rickenbacker (MTA),Army Guard,Ohio,United States,Active,39.80503102,-82.9514625254
NG Camp Withycombe Clackamas,Army Guard,Oregon,United States,Active,45.412447609,-122.557961254
NG TS AFRC Los Alamitos,Army Guard,California,United States,Active,33.7912112939,-118.052226791
NG MTA Limestone Hills,Army Guard,Montana,United States,Active,46.2740762237,-111.579816882
NG MTC-H Camp Grayling,Army Guard,Michigan,United States,Active,44.6874716798,-84.7298829884
NG Kansas,Army Guard,Kansas,United States,Active,39.0201681146,-95.6832394397
Waipahu,Navy Active,Hawaii,United States,Active,21.3620293704,-157.988002333
Dredgers Key-Sigsbee,Navy Active,Florida,United States,Active,24.5785674303,-81.7735965378
NAVBASE San Diego CA,Navy Active,California,United States,Active,32.6757646692,-117.122748674
Finegayan,Navy Active,Guam,Guam,Active,13.5836144059,144.844294742
Bridgeport,MC Active,California,United States,Active,38.3744532716,-119.542277539
Haarp Research Station,AF Active,Alaska,United States,Active,62.4083568593,-145.155004797
Fort Lee,Army Active,Virginia,United States,Active,37.2494396184,-77.3347277202
Us Army Joint Sys Mfg CtrLima,Army Active,Ohio,United States,Active,40.6996401966,-84.1328894032
Grand Prairie Reserve Complex,Army Reserve,Texas,United States,Active,32.7399583948,-96.9564403611
Kipapa Ammo Storage Site,Army Active,Hawaii,United States,Inactive,21.4396274449,-158.003109942
NAVSTA Norfolk VA,Navy Active,Virginia,United States,Active,36.9433080035,-76.3015136921
Webster Field,Navy Active,Maryland,United States,Active,38.145841636,-76.4278909867
Point Arena Air Force Station,AF Active,California,United States,Inactive,38.891840042,-123.546579136
Dobbins ARB,AF Reserve,Georgia,United States,Active,33.9174086513,-84.5192362187
Columbus AFB,AF Active,Mississippi,United States,Active,33.6413120873,-88.4511187521
Bangor IAP,AF Guard,Maine,United States,Active,44.8175673815,-68.8298013821
McGhee Tyson Airport,AF Guard,Tennessee,United States,Active,35.8114939421,-84.0036709533
Gen Mitchell IAP,AF Guard,Wisconsin,United States,Active,42.9410456217,-87.8879842837
W K Kellogg,AF Guard,Michigan,United States,Active,42.3152607726,-85.2517650226
NG Stones Ranch Military Res,Army Guard,Connecticut,United States,Active,41.365115238,-72.2719883265
NG Jackson Bks,Army Guard,Louisiana,United States,Active,29.9610820259,-90.0054600369
NG Shelbyville,Army Guard,Indiana,United States,Active,39.5789596414,-85.8110236465
NG Camp Ravenna Joint Military Training Center,Army Guard,Ohio,United States,Active,41.1971787101,-81.0848343174
NG Rochester NGA and OMS 2,Army Guard,Minnesota,United States,Active,43.9969533709,-92.431667564
NG Youngstown Tng Site,Army Guard,New York,United States,Active,43.2374990056,-78.9726913885
NG Ethan Allen AFB MTA,Army Guard,Vermont,United States,Active,44.5098902146,-73.1635564756
NG Camp Rapid,Army Guard,South Dakota,United States,Active,44.0801387023,-103.266957925
Kamokala Ridge,Navy Active,Hawaii,United States,Active,22.0390260692,-159.754233043
JBPHH Pearl Harbor HI,Navy Active,Hawaii,United States,Active,21.3365657616,-157.947911019
Vieques West PR,Navy Active,Puerto Rico,Puerto Rico,Active,18.0962543996,-65.5122515814
Trumbo Point Annex,Navy Active,Florida,United States,Active,24.564687961,-81.7912167283
Santa Cruz Island,Navy Active,California,United States,Active,33.9949571838,-119.633496836
Tumon Tank Farm,Navy Active,Guam,Guam,Active,13.517951387,144.811096236
Lake Of The Ozarks Recreation,Army Active,Missouri,United States,Active,38.0893373204,-92.6050226881
Fort Shafter,Army Active,Hawaii,United States,Active,21.3459798367,-157.883423329
OLF Atlantic,MC Active,North Carolina,United States,Active,34.8948517394,-76.3494185567
MCB Camp Pendleton,MC Active,California,United States,Active,33.3617631238,-117.423573571
Sea Plane Base,Navy Active,Washington,United States,Active,48.2942162716,-122.600904083
Kegelman Air Force Auxiliary Field,AF Active,Oklahoma,United States,Active,36.7367977571,-98.1206530872
Pittsburgh IAP (ANG),AF Guard,Pennsylvania,United States,Active,40.4853906277,-80.2128717533
Smoky Hill ANG Range,AF Guard,Kansas,United States,Active,38.698673015,-97.8316970673
Seguin Auxiliary Field,AF Active,Texas,United States,Active,29.5647013744,-97.9056493003
NG Orchard Combat Training Center,Army Guard,Idaho,United States,Active,43.2274955645,-116.138977329
NG Raleigh,Army Guard,North Carolina,United States,Active,35.8091728617,-78.7120731248
NG TS Ike Skelton Jefferson City,Army Guard,Missouri,United States,Active,38.5515266427,-92.0684326746
NG Grand Island AASF/RC,Army Guard,Nebraska,United States,Active,40.9618173985,-98.2987920709
NG Lawrenceville,Army Guard,New Jersey,United States,Active,40.2697852903,-74.7446975393
Silver Strand South,Navy Active,California,United States,Active,32.5969675488,-117.128170944
Wahiawa,Navy Active,Hawaii,United States,Active,21.5204386438,-158.005639333
Dandan,Navy Active,Guam,Guam,Active,13.3106836826,144.736799463
SPAWARS South,Navy Active,California,United States,Active,32.6677774858,-117.240517357
Rome Laboratory,AF Active,New York,United States,Active,43.2214961419,-75.4097019981
Aberdeen Proving Ground,Army Active,Maryland,United States,Active,39.3897332632,-76.2184808653
Brown 4b Stagefield AL,Army Active,Alabama,United States,Active,31.3863190917,-85.9722716491
Toth Stagefield AL,Army Active,Alabama,United States,Active,31.2285844723,-85.5587094717
Schofield Barracks Military Reservation,Army Active,Hawaii,United States,Active,21.4956034912,-158.053239766
Fort Hamilton,Army Active,New York,United States,Active,40.6089967598,-74.0294500589
Iowa AAP,Army Active,Iowa,United States,Active,40.7920025926,-91.2456158021
ALF Bogue,MC Active,North Carolina,United States,Active,34.69285056,-77.0286825557
Naval Weapons Station Earle NJ,Navy Active,New Jersey,United States,Active,40.253857198,-74.1608483411
NAVSUPPACT Hampton Roads VA,Navy Active,Virginia,United States,Active,36.9250152893,-76.2996109684
Det Philadelphia PA,Navy Active,Pennsylvania,United States,Active,40.0413030722,-75.094581272
NAVBASE Guam,Navy Active,Guam,Guam,Active,13.4286325755,144.653464077
NAS Meridian MS,Navy Active,Mississippi,United States,Active,32.5531914123,-88.5695131272
NAVSUPPACT Midsouth Memphis TN,Navy Active,Tennessee,United States,Active,35.3314242265,-89.8707837951
Eglin AFB (Eglin Main and Reservation),AF Active,Florida,United States,Active,30.5759376196,-86.5283733486
Bradley IAP,AF Guard,Connecticut,United States,Active,41.9349940506,-72.7012504094
New Castle Airport,AF Guard,Delaware,United States,Active,39.6865096946,-75.5975562186
Pease ANGB,AF Guard,New Hampshire,United States,Active,43.0890854907,-70.8187307657
Savannah/Hilton Head IAP,AF Guard,Georgia,United States,Active,32.1264203859,-81.1897565604
MacDill AFB,AF Active,Florida,United States,Active,27.8436083654,-82.5010227484
NG TS Clark Natl Forest Wapp,Army Guard,Missouri,United States,Active,36.8915192187,-90.2799665184
NG Rosemount NG Armory,Army Guard,Minnesota,United States,Active,44.7477484831,-93.1276054375
Holtville Carrier LS,Navy Active,California,United States,Active,32.8385569471,-115.258177991
West Bank,Navy Active,Louisiana,United States,Active,29.9488308912,-90.0328996808
NOLF Summerdale,Navy Active,Alabama,United States,Active,30.5080389773,-87.6471946322
Santa Rosa Parcel B,Navy Active,Guam,Guam,Active,13.5358626798,144.914804435
Sheppard AFB,AF Active,Texas,United States,Active,33.984552387,-98.4996936818
OLF Coupeville,Navy Active,Washington,United States,Active,48.1896005828,-122.632442292
Mountain Home AFB,AF Active,Idaho,United States,Active,43.0489402334,-115.865880301
Beale AFB,AF Active,California,United States,Active,39.121056975,-121.395465168
MCB Camp Lejeune (East Site),MC Active,North Carolina,United States,Active,34.6433579946,-77.3051040489
Patrick AFB,AF Active,Florida,United States,Active,28.233869335,-80.6080075194
Military Ocean Terminal Concord,Army Active,California,United States,Active,38.0513971399,-122.018795364
Fort Campbell KY,Army Active,Kentucky,United States,Active,36.6697817061,-87.6718272017
Rock Island Arsenal,Army Active,Illinois,United States,Active,41.5170748739,-90.5411561301
Jacksonville FL Maint,MC Reserve,Florida,United States,Active,30.405301276,-81.6216735389
Puuloa-Oahu,MC Active,Hawaii,United States,Active,21.3182154989,-157.988054568
Fort Adams RI,Navy Active,Rhode Island,United States,Active,41.4753432866,-71.3399358753
NAVSTA Mayport FL,Navy Active,Florida,United States,Active,30.3815861854,-81.4248272955
NAS Corpus Christi TX,Navy Active,Texas,United States,Active,27.6924886772,-97.2793198862
Hurlburt Field,AF Active,Florida,United States,Active,30.4291906458,-86.6987100281
Minn-St Paul,AF Reserve,Minnesota,United States,Active,44.892490313,-93.2071583527
Vandenberg Main Base,AF Active,California,United States,Active,34.7135727132,-120.55814563
Will Rogers World Airport,AF Guard,Oklahoma,United States,Active,35.4076597475,-97.611671339
NG MTCH Camp Guernsey,Army Guard,Wyoming,United States,Active,42.3382282871,-104.809449137
NG Fort Chaffee MTC,Army Guard,Arkansas,United States,Active,35.2565207847,-94.1634392414
NG MTA Camp Shelby,Army Guard,Mississippi,United States,Active,31.0902463593,-89.0068676906
NG Picacho Aviation TS,Army Guard,Arizona,United States,Active,32.6629164638,-111.488032827
NG MTA Camp Edwards,Army Guard,Massachusetts,United States,Active,41.7003516585,-70.5448394116
NG MTA Camp Fretterd,Army Guard,Maryland,United States,Active,39.4979931517,-76.8456986902
NALF Goliad,Navy Active,Texas,United States,Active,28.6111807311,-97.6121549462
Naval Hospital,Navy Active,Florida,United States,Active,24.5688912079,-81.7508073951
Gambrills,Navy Active,Maryland,United States,Active,39.0567083217,-76.6762764474
NAVACAD North Severn,Navy Active,Maryland,United States,Active,38.9898516944,-76.4624264305
Navy Annex,Navy Active,California,United States,Active,36.5916541246,-121.860796344
Potts Tank Farm,Navy Active,Guam,Guam,Active,13.5867244468,144.862277501
Stump Neck Area,Navy Active,Maryland,United States,Active,38.5491137312,-77.2131682728
Keesler AFB,AF Active,Mississippi,United States,Active,30.4078255445,-88.9216855143
Shipyard Puget Sound,Navy Active,Washington,United States,Active,47.5591924008,-122.635482091
Fort Hunter Liggett,Army Reserve,California,United States,Active,35.9554065709,-121.253769516
Fort Riley,Army Active,Kansas,United States,Active,39.1866803598,-96.8208663239
Stinson 5AB Stagefield AL,Army Active,Alabama,United States,Active,31.359582043,-86.0139459687
Dugway Proving Ground,Army Active,Utah,United States,Active,40.1545151653,-113.284084389
Rivanna Station,Army Active,Virginia,United States,Active,38.1554946642,-78.4136946349
Fort Drum,Army Active,New York,United States,Active,44.1248120384,-75.5920674235
US Army Soldier Systems Center Natick,Army Active,Massachusetts,United States,Active,42.2895101722,-71.3633494213
Lone Star AAP (BRAC 2005),Army Active,Texas,United States,Inactive,33.402984165,-94.2554165694
Rocky Mountain Arsenal,Army Active,Colorado,United States,Inactive,39.8434493746,-104.839363783
Yermo Area,MC Active,California,United States,Active,34.8905585366,-116.870241242
Craney Island,Navy Active,Virginia,United States,Active,36.8887856719,-76.3605553448
Naval Weapons Station Yorktown,Navy Active,Virginia,United States,Active,37.2448033923,-76.5855659537
JEBLCFS East,Navy Active,Virginia,United States,Active,36.9231148685,-76.0174690076
Creech AFB,AF Active,Nevada,United States,Active,36.6512553805,-115.640007706
Malmstrom AFB,AF Active,Montana,United States,Active,47.5059106291,-111.182777387
Minot AFB,AF Active,North Dakota,United States,Active,48.4210623214,-101.338350153
USAF Academy,AF Active,Colorado,United States,Active,38.9946516318,-104.857157781
Isabela Puerto Rico,AF Active,Puerto Rico,Puerto Rico,Active,18.4637645502,-67.0658346043
Little Rock AFB,AF Active,Arkansas,United States,Active,34.9040005265,-92.1384692754
Bellows,AF Active,Hawaii,United States,Active,21.3636803488,-157.710220122
Luke AFB,AF Active,Arizona,United States,Active,33.5362891829,-112.374183665
Jackson IAP Thompson Field,AF Guard,Mississippi,United States,Active,32.3244710273,-90.0826770417
Otis ANG Base,AF Guard,Massachusetts,United States,Active,41.6461510573,-70.5337300198
Rickenbacker,AF Guard,Ohio,United States,Active,39.8128368963,-82.9437124972
Selfridge ANGB,AF Guard,Michigan,United States,Active,42.6124987986,-82.8324160105
Volk ANGB,AF Guard,Wisconsin,United States,Active,43.9362601246,-90.2543423584
Duluth IAP,AF Guard,Minnesota,United States,Active,46.8449538206,-92.172128284
Toledo/Exp Airport,AF Guard,Ohio,United States,Active,41.5865259257,-83.7919651408
NG Camp Niantic,Army Guard,Connecticut,United States,Active,41.3313986668,-72.1879440898
NG Pelham Range Training Site - Fort McClellan,Army Guard,Alabama,United States,Active,33.7179613001,-85.9502653692
NG MTC-H Camp Roberts,Army Guard,California,United States,Active,35.781595342,-120.780040594
NG St Cloud NG Armory,Army Guard,Minnesota,United States,Active,45.5648760428,-94.1774187425
NG Baton Rouge AFRC,Army Guard,Louisiana,United States,Active,30.3578247818,-91.1408358591
NG Camp Grafton,Army Guard,North Dakota,United States,Active,47.7711996949,-98.7161638156
NG Spring City Readiness Center,Army Guard,Pennsylvania,United States,Active,40.1899589793,-75.5558107769
NG MTA Gunpowder Military Reservation,Army Guard,Maryland,United States,Active,39.4323773898,-76.5050135446
NG Sioux Falls Benson Rd Complex,Army Guard,South Dakota,United States,Active,43.5892992575,-96.6754244833
Pearl City,Navy Active,Hawaii,United States,Active,21.3813432543,-157.974037315
Marbo,Navy Active,Guam,Guam,Active,13.4890012867,144.86534429
Edwards AFB,AF Active,California,United States,Active,34.8902967213,-117.848771224
Naval Observatory,Navy Active,District of Columbia,United States,Active,38.9214186847,-77.0670325804
Fort Knox,Army Active,Kentucky,United States,Active,37.9070173886,-85.8831225305
Fort Leonard Wood,Army Active,Missouri,United States,Active,37.7054875554,-92.1571252371
Fort Rucker AL,Army Active,Alabama,United States,Active,31.4040790084,-85.7473894209
Detroit Arsenal,Army Active,Michigan,United States,Active,42.4973285111,-83.0413341243
Fort Greely,Army Active,Alaska,United States,Active,63.9667780882,-145.715113744
Jefferson Proving Ground,Army Active,Indiana,United States,Inactive,38.9504184947,-85.4176312593
Riverbank AAP,Army Active,California,United States,Inactive,37.7212275293,-120.919493007
NSY Portsmouth,Navy Active,Maine,United States,Active,43.0813485814,-70.7333351232
Cape Cod Air Station,AF Active,Massachusetts,United States,Active,41.7536642401,-70.539124869
Norwalk 2,AF Reserve,California,United States,Active,33.8931849532,-118.070170962
Atlantic City IAP,AF Guard,New Jersey,United States,Active,39.4481861918,-74.5814031458
Yeager Airport,AF Guard,West Virginia,United States,Active,38.3731944221,-81.5895194077
NG Atlanta - Confederate Ave,Army Guard,Georgia,United States,Active,33.7222321357,-84.358887856
NG Collegeville FMS 4,Army Guard,Pennsylvania,United States,Active,40.2146157734,-75.4284194801
NG Buckeye TS,Army Guard,Arizona,United States,Active,33.4645500341,-112.601760483
NG Oglethorpe Armory,Army Guard,Georgia,United States,Active,33.6173832012,-84.309923744
NG River Road Training Site,Army Guard,Delaware,United States,Active,39.6334303612,-75.6070696877
NG Edgemeade TS Mtn Home,Army Guard,Idaho,United States,Active,43.1442443568,-115.652542493
NG Norman CSMS,Army Guard,Oklahoma,United States,Active,35.2643197322,-97.480057288
NG Westminster Training Site,Army Guard,Vermont,United States,Active,43.0858827247,-72.4513120197
NG VTS Catoosa,Army Guard,Georgia,United States,Active,34.9312156533,-85.0590610783
NG VTS Smyrna,Army Guard,Tennessee,United States,Active,36.0180985881,-86.5036120259
NG Saint George/FMS 5B,Army Guard,Utah,United States,Active,37.0337681833,-113.547140891
NAF El Centro,Navy Active,California,United States,Active,32.8253936819,-115.668153219
OLF Whitehouse,Navy Active,Florida,United States,Active,30.3562317642,-81.8711131789
Naval Support Activity Orlando,Navy Active,Florida,United States,Active,28.5841677574,-81.1967624389
George AFB,AF Active,California,United States,Inactive,34.5852155946,-117.373249538
NSA South Potomac,Navy Active,Virginia,United States,Active,38.3398584637,-77.0325546791
Grand Forks AFB,AF Active,North Dakota,United States,Active,47.9545695614,-97.3916932722
Ozol Defense Fuel Support Point,AF Active,California,United States,Active,38.0259039103,-122.16702561
Letterkenny Army Depot,Army Active,Pennsylvania,United States,Active,40.0203299941,-77.7018175626
Pinon Canyon,Army Active,Colorado,United States,Active,37.4975893419,-103.918064485
Skelly Stagefield AL,Army Active,Alabama,United States,Active,31.2857344505,-86.12984115
Tripler Army Medical Center,Army Active,Hawaii,United States,Active,21.3619820362,-157.889639813
Oak Grove,MC Active,North Carolina,United States,Active,35.0231361057,-77.2587195143
JNTEXPBASE Little Creek FS VA,Navy Active,Virginia,United States,Active,36.9168246358,-76.161868495
NAVMEDCEN Portsmouth VA,Navy Active,Virginia,United States,Active,36.8459831027,-76.3077533755
NAVSUPPACT Bethesda MD,Navy Active,Maryland,United States,Active,39.0019657147,-77.090338965
Kirtland,AF Active,New Mexico,United States,Active,34.9977382052,-106.481957879
Travis Annex  2,AF Active,California,United States,Active,38.3255053712,-121.923584762
Luis Munoz Marin IAP,AF Guard,Puerto Rico,Puerto Rico,Active,18.4435232394,-65.9923537212
Camp Bullis Training Annex,AF Active,Texas,United States,Active,29.6910786143,-98.561663659
NG Duluth NG Armory,Army Guard,Minnesota,United States,Active,46.8337009674,-92.1588343868
NG General Lucius D Clay National Guard Center,Army Guard,Georgia,United States,Active,33.9136159677,-84.5290173714
NG Camp Sherman Joint Training Center,Army Guard,Ohio,United States,Active,39.3556342155,-82.9509547956
NG McNary Field Salem AASF,Army Guard,Oregon,United States,Active,44.9117374881,-122.99982156
NG Jackson County AFRC,Army Guard,West Virginia,United States,Active,38.893477547,-81.829845717
NG Havre De Grace Military Res,Army Guard,Maryland,United States,Active,39.53266265,-76.1041166001
Target B-19,Navy Active,Nevada,United States,Active,39.1711271565,-118.636032149
Port Hueneme,Navy Active,California,United States,Active,34.1629044874,-119.208411478
NAS Jacksonville FL,Navy Active,Florida,United States,Active,30.2190944719,-81.6862419066
Dixie Target Range,Navy Active,Texas,United States,Active,28.0974161603,-98.7283712572
Cape Canaveral Air Force Station,AF Active,Florida,United States,Active,28.4788213467,-80.5711268805
Solomons Island MD,Navy Active,Maryland,United States,Active,38.3364781719,-76.4713794751
Pine Bluff Arsenal,Army Active,Arkansas,United States,Active,34.3261504449,-92.0867021569
Holston AAP,Army Active,Tennessee,United States,Active,36.5255506694,-82.6442165413
Redstone Arsenal,Army Active,Alabama,United States,Active,34.6328507804,-86.6571701025
Fort Huachuca,Army Active,Arizona,United States,Active,31.567419034,-110.329649033
Cairns Basefield AL,Army Active,Alabama,United States,Active,31.2786073023,-85.7149945144
Runkle Stagefield AL,Army Active,Alabama,United States,Active,31.3403853788,-86.091887871
Aliamanu Military Reservation,Army Active,Hawaii,United States,Active,21.3618785619,-157.911388913
Dillingham Mil Res,Army Active,Hawaii,United States,Active,21.5762316637,-158.198775803
Def Gen Supply Center,Army Active,Virginia,United States,Active,37.4187717327,-77.447528995
Fort Benning AL,Army Active,Alabama,United States,Active,32.2838712304,-84.9548431105
TBR Main,MC Active,Georgia,United States,Active,31.5484913702,-81.6199877022
